Source,Date,Author,Comment
E5liFt9DK-o,2021-05-10T00:00:27Z,Djamel Casbah, 👌👌
E5liFt9DK-o,2021-05-09T18:13:37Z,Lamya Maya, . bisou
E5liFt9DK-o,2021-05-09T14:17:56Z,كل يوم فيديو مع #هاجرDz,( ) 
E5liFt9DK-o,2021-05-09T14:02:25Z,inés se,Débile Numidia
E5liFt9DK-o,2021-05-09T13:41:57Z,ritch ritch, 😧 .
E5liFt9DK-o,2021-05-09T13:14:07Z,Besma Louaar, MBC 5 
E5liFt9DK-o,2021-05-09T09:19:44Z,Nina Nanou, 0 🤮🤮🤮
E5liFt9DK-o,2021-05-09T08:47:14Z,bac ida,"Je me demande cmnt vous avez fait delle une personne populaire ou alors cmnt elle est arrivée là !je me demande cmnt une tél créature ni niveau ni culture ni savoir faire en comédie vous la suivez à ce point vous êtes fans vous likez ces vidéos vous lui faites le buzzzzzz !! Vous savez k cest grâce à vos suivi que ce genre de phénomène en Algérie a prit de lampleur et sont devenus si riches dailleurs comme toutes les autres sans citer leur noms homme ou femmes , vous savez quà chaque fois vous likez , partagez ou suivez vous leur donnez des point et ces points leur génère de largent direct sur leur comptes bancaires vous les avez rendez riche sans savoir et doka hemir kima hadou rahoum yatebahalou 3lina en live , houma darbin denia avec talon chab3îne les voyages et largent wantouma 3aychine me3ichate firan fi ghiràn, a bon entendeur , réveillez vous"
E5liFt9DK-o,2021-05-09T06:09:53Z,Kamel Ghazli, . . .
E5liFt9DK-o,2021-05-09T03:53:39Z,Jamal gm Hm,😍😍😍😍
E5liFt9DK-o,2021-05-09T03:17:40Z,Souma Modric,T3ayfyY khlh 🤮
E5liFt9DK-o,2021-05-09T03:17:23Z,Cremissa kokitta, . 
E5liFt9DK-o,2021-05-09T03:08:36Z,Bidjou Haliche, ... 
E5liFt9DK-o,2021-05-09T01:56:50Z,Nany djam,Mahboula 🤣🤣🤣🤣
E5liFt9DK-o,2021-05-09T01:48:49Z,Adlan Lahlou,Allah yahdina amin
E5liFt9DK-o,2021-05-09T01:17:49Z,yacine lakhdar chaouch, . 
E5liFt9DK-o,2021-05-09T00:25:33Z,Khalil Baraa, .....
E5liFt9DK-o,2021-05-09T00:11:11Z,Samar Samo, 🤭 ❤️☺️
E5liFt9DK-o,2021-05-09T00:07:12Z,wafae el, 😂😂
E5liFt9DK-o,2021-05-08T23:28:00Z,Melissa Melissa, 😏
E5liFt9DK-o,2021-05-08T21:39:31Z,Bakir Djehlane, 🇩🇿 😨
E5liFt9DK-o,2021-05-08T21:38:11Z,mabelle Fatih, ... .. ..... 
E5liFt9DK-o,2021-05-08T20:51:27Z,Jad Jade,Question bête es ce que c'est gens sont bien musulmans ?!?!!??
E5liFt9DK-o,2021-05-08T19:50:07Z,Chams Assil, 😂🤣🤣🤣🤣
E5liFt9DK-o,2021-05-08T19:05:04Z,Djamila Bzblgwjxjfjjgjjcjgudiddhdudkdfuududdj,LYNAMi
E5liFt9DK-o,2021-05-08T16:53:50Z,Hakima Abdi,Chabahtini bi ouahd l'actrice Marilyne monro
E5liFt9DK-o,2021-05-08T16:51:46Z,Hakima Abdi,Vraie tu est belle tu et comique défoit .mais samatiha blehbal
E5liFt9DK-o,2021-05-08T16:49:53Z,Hakima Abdi,"Oualah j'ai rien à dire , j'ai rien compris"
E5liFt9DK-o,2021-05-08T15:24:54Z,ninou pro, 00
E5liFt9DK-o,2021-05-08T15:23:04Z,ninou pro, 000000
E5liFt9DK-o,2021-05-08T12:48:49Z,Hocine Djabouri, 😂😂😂😂
E5liFt9DK-o,2021-05-08T12:46:37Z,Hocine Djabouri, 1000 😕😑😂😂😂
E5liFt9DK-o,2021-05-08T12:20:23Z,Dada Blkadi,Jayha bahlola
E5liFt9DK-o,2021-05-08T10:19:28Z,Cherchelli Samir,Gold digger 
E5liFt9DK-o,2021-05-08T04:08:00Z,Saida Ouaissou,Galek chadi ki y9aymouh yweli gori
E5liFt9DK-o,2021-05-08T03:49:32Z,rostom rostemid,bebek ferhane bik wyweri wedjhou koudem rdjel ? remarque maydor ghir kima li kifou.T......wfarhane.3andou.djeb lehyetou wkabrou seyi a djeriya ila yowmi el kiyama.allahou mastorna wastar dheroyetena wedj3el ha dhouroyatene salihatene mosliha lil biledi wel 3ibed fi ta3atillehi ya rab.
E5liFt9DK-o,2021-05-08T03:40:07Z,Dodo Mimi,😂😂 🤣🤣
E5liFt9DK-o,2021-05-08T02:19:31Z,Khail Youcef, 🥴🥴🥴
E5liFt9DK-o,2021-05-08T00:04:23Z,Ana Yiiid, 😑
E5liFt9DK-o,2021-05-07T23:13:08Z,BOUANOU mohamed, .... 
E5liFt9DK-o,2021-05-07T23:10:16Z,samouni samouna, 😍😍😍😍😍😍😍
E5liFt9DK-o,2021-05-07T21:12:54Z,Yasmin Jasmin,J ai jamais aimer les nouvelles actrices
E5liFt9DK-o,2021-05-07T20:39:21Z,Mohamed Derriche,Elle degoute wallah
E5liFt9DK-o,2021-05-07T19:05:17Z,Soso sophie,LA FOLLE DE CHAILLOT
E5liFt9DK-o,2021-05-07T13:05:04Z,الأميرة شهرزاد *شاهي شانو*, 🙄🤔😳 
E5liFt9DK-o,2021-05-07T11:19:54Z,Soufi Soufi2,Zahia dehar n 2
E5liFt9DK-o,2021-05-07T09:18:10Z,Mohamed Abaidi,Dayra ki lkharya t3ayfi
E5liFt9DK-o,2021-05-07T05:45:15Z,mélina méli, 🤮🤮
E5liFt9DK-o,2021-05-07T03:14:32Z,imad madrid 10,😕😕😕
E5liFt9DK-o,2021-05-07T00:35:44Z,Iyed Affak,🤮
E5liFt9DK-o,2021-05-06T23:53:44Z,boucenna fatima, 🤣🤣🤣🤣🤣🤣
E5liFt9DK-o,2021-05-06T23:23:29Z,Razan lgelb, .....
E5liFt9DK-o,2021-05-06T23:14:11Z,Loulou Laib,🤢🤢🤢🤢🤢🤢🤢🤢🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
E5liFt9DK-o,2021-05-06T22:40:03Z,Sihem Sisi,Lah yahdiik wllh ...neti ou zéro kif kif gamine
E5liFt9DK-o,2021-05-06T22:09:22Z,Anouar Nono, 😔😔😔😔
E5liFt9DK-o,2021-05-06T22:02:12Z,moufida mokranif, 😟
E5liFt9DK-o,2021-05-06T22:00:56Z,BILAL هارون, . .
E5liFt9DK-o,2021-05-06T21:45:27Z,Fatima Belaribi,Zahia dehar
E5liFt9DK-o,2021-05-06T21:39:42Z,femme dz,😒
E5liFt9DK-o,2021-05-06T21:35:38Z,bouricha samira,Mziya hadik tarma machi dyalk artificiel kolch fik artificiel 🤮🤮🤮
E5liFt9DK-o,2021-05-06T21:13:26Z,Ourdia Nouioui,Hhhh numidia speciale ❤❤
E5liFt9DK-o,2021-05-06T21:06:56Z,Djoudi Chaima,🤮🤮🤮🤮
E5liFt9DK-o,2021-05-06T20:56:11Z,روزا بيلا, !!!!!
E5liFt9DK-o,2021-05-06T20:44:33Z,Nour HD,Na7i les faux fesses w mbe3d atmachi
E5liFt9DK-o,2021-05-06T20:34:51Z,Aymen Benarfa, 😴👿
E5liFt9DK-o,2021-05-06T19:52:11Z,مايكل جاكسون, . . 
E5liFt9DK-o,2021-05-06T18:29:40Z,Manwèla Ch, 😭😭
E5liFt9DK-o,2021-05-06T17:19:27Z,Mohamed Allane22, 😡😠🤬😡😡🤬🤬🤬🤬🤬*************** 🤬🤬🤬🤬******
E5liFt9DK-o,2021-05-06T16:25:57Z,Nadia bousseksou, 😒 
6pmh1p7ElPY,2021-05-23T20:01:27Z,Hiho Ho,😑😑😑 
6pmh1p7ElPY,2021-05-23T14:44:28Z,Djobbi Mohamed,bein venue a tunis lina chez votre famille
6pmh1p7ElPY,2021-05-22T02:25:53Z,salah daadi, 😂
6pmh1p7ElPY,2021-05-21T22:48:03Z,موتى موتى, . 
6pmh1p7ElPY,2021-05-21T21:35:13Z,zoubir Sid,On dirait une poupée en plastique en plus trop de manière makhelou3a
6pmh1p7ElPY,2021-05-21T21:33:49Z,zoubir Sid,Franchement pot de peinture qu'est-ce que tu as mis dans ton visage on peut prendre une raclette et on racle
6pmh1p7ElPY,2021-05-21T18:55:36Z,ATMANE Djouhra,Encore une hirakiste... rentrée...
6pmh1p7ElPY,2021-05-21T14:53:42Z,Slim Daniel,Rouhi ta3ti sowa kharaya
6pmh1p7ElPY,2021-05-21T13:17:13Z,Islam Zaniolo,Kharya min jabo 9asamha
6pmh1p7ElPY,2021-05-21T11:59:39Z,Younes Kobbi,🦊🐯🦓🐸🐍🦖🦕🐁 🥶
6pmh1p7ElPY,2021-05-21T10:32:26Z,fatima bouterbiat,Elle est trop belle on dirait une poupée Machallah 🇩🇿🇩🇿🇩🇿
6pmh1p7ElPY,2021-05-20T23:38:08Z,minou,Hadi malha
6pmh1p7ElPY,2021-05-20T20:39:10Z,Habibo Tail,Raaaaaaaaaani msouuuuuuuuurekh
6pmh1p7ElPY,2021-05-19T22:12:31Z,l'algerie mon amour, !!!! 
6pmh1p7ElPY,2021-05-19T22:06:48Z,Gislaine Sidamar,Algérie 🤔🙄
6pmh1p7ElPY,2021-05-19T21:44:41Z,Said Hadj kaddour, .. ... ... 
6pmh1p7ElPY,2021-05-19T21:31:17Z,Coco lil, . 
6pmh1p7ElPY,2021-05-19T20:19:28Z,المتفائلة, 😤
6pmh1p7ElPY,2021-05-19T14:41:20Z,Bilal Bilal Bilal, 🤣
6pmh1p7ElPY,2021-05-19T12:53:24Z,Gari zizou, 🤔 . 
6pmh1p7ElPY,2021-05-19T12:19:24Z,Naila Rebih, 💩💩
6pmh1p7ElPY,2021-05-19T12:00:50Z,Fayza Iness, . 
6pmh1p7ElPY,2021-05-19T11:56:19Z,Ramache Abdelhakim, 🥴
6pmh1p7ElPY,2021-05-19T11:17:28Z,mizou moni, Plastic girl
6pmh1p7ElPY,2021-05-19T11:14:09Z,Ville Marie, . 
6pmh1p7ElPY,2021-05-19T07:40:41Z,Karim Boudria,Et après ?
6pmh1p7ElPY,2021-05-19T02:30:02Z,Aladdin 31, 🤔🤔
6pmh1p7ElPY,2021-05-18T23:02:16Z,Imene Sid,🤢🤢🤢🤢🤮🤮🤮🤮🤮 . . .
6pmh1p7ElPY,2021-05-18T22:58:28Z,Maylisse Diamond,Ah ma fille t'es trop sophistiquée. Tu vas même pas arriver à 35 ans que t'auras abîmé toute ta peau de cochonneries
6pmh1p7ElPY,2021-05-18T22:35:13Z,Meriem Oumellel, $
6pmh1p7ElPY,2021-05-18T21:23:59Z,Sabi Sabrina,Machaaellah 3lik noumidia Bon continuation
6pmh1p7ElPY,2021-05-18T19:40:39Z,LEP,C'est l'histoire de la poupée BARBIE.. 😜😂
6pmh1p7ElPY,2021-05-18T18:19:13Z,santa diabla,Trop belle
6pmh1p7ElPY,2021-05-18T16:01:49Z,Hsina Sina,😘😘😘❤❤
6pmh1p7ElPY,2021-05-18T15:24:43Z,Amine Badi,On dirait une poupée barbie 🤔😏...
6pmh1p7ElPY,2021-05-18T14:38:31Z,Ahmed Ahmed, 😕.... 🙂
6pmh1p7ElPY,2021-05-18T10:53:03Z,Marjaj Morad, . 
6pmh1p7ElPY,2021-05-18T09:59:23Z,kaissa sissa,Bahloula de plus en plus kebri aaaaaAu moins nweliw nechtouk chwiya
